date,sales
2011-01-29,3239
2011-01-30,3137
2011-01-31,2008
2011-02-01,2258
2011-02-02,2032
2011-02-03,2407
2011-02-04,2693
2011-02-05,3962
2011-02-06,3418
2011-02-07,2446
2011-02-08,2138
2011-02-09,2001
2011-02-10,2137
2011-02-11,2217
2011-02-12,3067
2011-02-13,3313
2011-02-14,2003
2011-02-15,1779
2011-02-16,1670
2011-02-17,1433
2011-02-18,2250
2011-02-19,3148
2011-02-20,2864
2011-02-21,2105
2011-02-22,1621
2011-02-23,1608
2011-02-24,1639
2011-02-25,1875
2011-02-26,2574
2011-02-27,2733
2011-02-28,1732
2011-03-01,1896
2011-03-02,1965
2011-03-03,1984
2011-03-04,2369
2011-03-05,3223
2011-03-06,3464
2011-03-07,2262
2011-03-08,2165
2011-03-09,2100
2011-03-10,2003
2011-03-11,2480
2011-03-12,2895
2011-03-13,3081
2011-03-14,2079
2011-03-15,1656
2011-03-16,1805
2011-03-17,1657
2011-03-18,2005
2011-03-19,2826
2011-03-20,2795
2011-03-21,1935
2011-03-22,1595
2011-03-23,1473
2011-03-24,1431
2011-03-25,1869
2011-03-26,2648
2011-03-27,2801
2011-03-28,1903
2011-03-29,1471
2011-03-30,1612
2011-03-31,1849
2011-04-01,2528
2011-04-02,3013
2011-04-03,3136
2011-04-04,2615
2011-04-05,2047
2011-04-06,1897
2011-04-07,2150
2011-04-08,2342
2011-04-09,2825
2011-04-10,2978
2011-04-11,2007
2011-04-12,1653
2011-04-13,1550
2011-04-14,1631
2011-04-15,2141
2011-04-16,2465
2011-04-17,2980
2011-04-18,1833
2011-04-19,1628
2011-04-20,1520
2011-04-21,1759
2011-04-22,2274
2011-04-23,2909
2011-04-24,2051
2011-04-25,1518
2011-04-26,1411
2011-04-27,1294
2011-04-28,1374
2011-04-29,1808
2011-04-30,2278
2011-05-01,2550
2011-05-02,1962
2011-05-03,2044
2011-05-04,1924
2011-05-05,1648
2011-05-06,2322
2011-05-07,2605
2011-05-08,2096
2011-05-09,2199
2011-05-10,2044
2011-05-11,1797
2011-05-12,1630
2011-05-13,2078
2011-05-14,2608
2011-05-15,2704
2011-05-16,1651
2011-05-17,1550
2011-05-18,1535
2011-05-19,1516
2011-05-20,1847
2011-05-21,2332
2011-05-22,2525
2011-05-23,1648
2011-05-24,1556
2011-05-25,1512
2011-05-26,1487
2011-05-27,1786
2011-05-28,2140
2011-05-29,2270
2011-05-30,2013
2011-05-31,1505
2011-06-01,1701
2011-06-02,1748
2011-06-03,2265
2011-06-04,2842
2011-06-05,2832
2011-06-06,2187
2011-06-07,1963
2011-06-08,1809
2011-06-09,2039
2011-06-10,2447
2011-06-11,2435
2011-06-12,2586
2011-06-13,2215
2011-06-14,2035
2011-06-15,1973
2011-06-16,1743
2011-06-17,1996
2011-06-18,2539
2011-06-19,2200
2011-06-20,2062
2011-06-21,2144
2011-06-22,1735
2011-06-23,1806
2011-06-24,2092
2011-06-25,2299
2011-06-26,2491
2011-06-27,1927
2011-06-28,1473
2011-06-29,1497
2011-06-30,1752
2011-07-01,2663
2011-07-02,3108
2011-07-03,2942
2011-07-04,2038
2011-07-05,2364
2011-07-06,2441
2011-07-07,2403
2011-07-08,2385
2011-07-09,2762
2011-07-10,3066
2011-07-11,2026
2011-07-12,1602
2011-07-13,1768
2011-07-14,1639
2011-07-15,1973
2011-07-16,2541
2011-07-17,2445
2011-07-18,2015
2011-07-19,1665
2011-07-20,1727
2011-07-21,1818
2011-07-22,2199
2011-07-23,2526
2011-07-24,2526
2011-07-25,1867
2011-07-26,1641
2011-07-27,1543
2011-07-28,1665
2011-07-29,2156
2011-07-30,2002
2011-07-31,2353
2011-08-01,1963
2011-08-02,2070
2011-08-03,1991
2011-08-04,2162
2011-08-05,2370
2011-08-06,2580
2011-08-07,2800
2011-08-08,2394
2011-08-09,2006
2011-08-10,1994
2011-08-11,1861
2011-08-12,2288
2011-08-13,2742
2011-08-14,2957
2011-08-15,1938
2011-08-16,1884
2011-08-17,1833
2011-08-18,1851
2011-08-19,2079
2011-08-20,2440
2011-08-21,3177
2011-08-22,1867
2011-08-23,1537
2011-08-24,1662
2011-08-25,1700
2011-08-26,1921
2011-08-27,2582
2011-08-28,2670
2011-08-29,1708
2011-08-30,1375
2011-08-31,1470
2011-09-01,1846
2011-09-02,2362
2011-09-03,2717
2011-09-04,2568
2011-09-05,2469
2011-09-06,2115
2011-09-07,1900
2011-09-08,1979
2011-09-09,2297
2011-09-10,2718
2011-09-11,2876
2011-09-12,1933
2011-09-13,1575
2011-09-14,1482
2011-09-15,1628
2011-09-16,1975
2011-09-17,2454
2011-09-18,2670
2011-09-19,1789
2011-09-20,1740
2011-09-21,1646
2011-09-22,1606
2011-09-23,2451
2011-09-24,2872
2011-09-25,2872
2011-09-26,2028
2011-09-27,1722
2011-09-28,1696
2011-09-29,1587
2011-09-30,2512
2011-10-01,3450
2011-10-02,3361
2011-10-03,2361
2011-10-04,2214
2011-10-05,2086
2011-10-06,2011
2011-10-07,2631
2011-10-08,3279
2011-10-09,3296
2011-10-10,2726
2011-10-11,2059
2011-10-12,1901
2011-10-13,1979
2011-10-14,2371
2011-10-15,2930
2011-10-16,2963
2011-10-17,1944
2011-10-18,1742
2011-10-19,1772
2011-10-20,1851
2011-10-21,2374
2011-10-22,3011
2011-10-23,3200
2011-10-24,2036
2011-10-25,1890
2011-10-26,1660
2011-10-27,1909
2011-10-28,2184
2011-10-29,3022
2011-10-30,3063
2011-10-31,1622
2011-11-01,1924
2011-11-02,2129
2011-11-03,2210
2011-11-04,2644
2011-11-05,3325
2011-11-06,3641
2011-11-07,2406
2011-11-08,2416
2011-11-09,2140
2011-11-10,2495
2011-11-11,2879
2011-11-12,3042
2011-11-13,3164
2011-11-14,2299
2011-11-15,1932
2011-11-16,1776
2011-11-17,1771
2011-11-18,2214
2011-11-19,3333
2011-11-20,3232
2011-11-21,2333
2011-11-22,2744
2011-11-23,2926
2011-11-24,1631
2011-11-25,2262
2011-11-26,2194
2011-11-27,2494
2011-11-28,1808
2011-11-29,1838
2011-11-30,1783
2011-12-01,1925
2011-12-02,2487
2011-12-03,3364
2011-12-04,3390
2011-12-05,2517
2011-12-06,2256
2011-12-07,2080
2011-12-08,2460
2011-12-09,2528
2011-12-10,3482
2011-12-11,3262
2011-12-12,2468
2011-12-13,2230
2011-12-14,2143
2011-12-15,2431
2011-12-16,2505
2011-12-17,3349
2011-12-18,3218
2011-12-19,2467
2011-12-20,2459
2011-12-21,2567
2011-12-22,2740
2011-12-23,3677
